康师傅茉莉浪漫电影季之茉等花开	9,110万次播放
沧州微电影 8128 导演剪辑威力加强版	102.5万次播放
宿迁微电影网《户籍那点事儿》拍摄花絮	102.4万次播放
青春励志微电影《交界》	102.4万次播放
董施展导演作品《床上床下》 忱忱金芮伊主演 高清	102.4万次播放
夏花的打磨片	102.4万次播放
《老魔术师》七夕上映耗时 40 年完成的魔术，一生只为一人	102.3万次播放
《One cares One买一善一志愿者在行动(四川布拖县)》	102.1万次播放
《非正常人类研究中心》第一集	102.0万次播放
网络大电影《不良女主播》正片	102.0万次播放
prewedding-爱情MV-我们一起回家吧 北京婚礼 5D2婚礼  婚礼电影 爱情微电影	101.8万次播放
人贱道	101.8万次播放
君品哥坚守本心，从容笑对商海纷争	101.8万次播放
战神黎明：单指玩坏世界	101.7万次播放
[流畅]2014贺岁电影《什么叫兄弟》	101.7万次播放
崔健 - 通往无之桥 - 玛莎拉蒂呈献赞那度旅程	101.7万次播放
【我有话要说】05期：真爱是否一定要有性	101.7万次播放
用电影 忆童年	101.5万次播放
关注流浪宠物宣传片《被遗弃的天使》 导演：齐鹏翔	101.5万次播放
爆笑！野人抢新娘反惹新郎心动《初恋的感觉》PART2	101.2万次播放
和美的秋天 神农架主题微电影	101.2万次播放
医美视界 微电影 天使的翅膀 MV 中国城市天使李美琪微电影	101.2万次播放
路易十三微电影——庄泳	100.9万次播放
《战龙》龙的传人直捣人贩子窝点	100.9万次播放
女贪污犯	100.7万次播放
泪奔！蓦然回首，真爱原来就在身边《初恋的感觉》PART3	100.7万次播放
《女公子》	100.7万次播放
如果我有一千万	100.7万次播放
爱，24小时在线 微电影亲嘴视频全集 男人和美女睡觉亲嘴 美女和帅哥亲嘴	100.5万次播放
遵义青年之玩命开车-微电影 贵州男子边喝酒边开车 结果	100.5万次播放
伊莱克斯微电影【婚后进行曲】二部曲-婆婆驾到	100.4万次播放
三星相机网剧 《我家有个大模头》第十集	100.4万次播放
《云端的日子-爱在临沧》正片-郭孟春作品	100.4万次播放
慈酒——用最赤裸的方式，揭秘醉美的她	100.4万次播放
易居乐《夏日陌生人》	100.3万次播放
微电影-回转的爱	100.3万次播放
京东超市包机陪你回家过大年	100.3万次播放
当巨蟹女遇上天蝎男	100.1万次播放
暖归	100.1万次播放
大学生同居的事儿 15	100.0万次播放
美女的多彩生活	100.0万次播放
【灰尘摄影】BeIndividual 高清版一定要HOLD住 无敌舞蹈短片	100.0万次播放
华北电力大学校园爱情 《可惜不是你》	99.9万次播放
北京电影学院第七届校园歌手大赛宣传片	99.8万次播放
杰尼亚倾情巨献《孵花》第三集：“除非我已死去”	99.7万次播放
媽媽，1周歲生日快樂！ 這支影片感動了萬千日本人的心！	99.7万次播放
感动了全世界50亿人的微电影	99.7万次播放
冰激凌三大禁忌 (iCE SCREEN 冰激凌智屏微电影系列 6th)	99.6万次播放
感人微电影《狗狗与我的故事》	99.6万次播放
感人微电影：金赫作品《远方在哪里》讲述姐弟心酸的恩情【走心派影像工作室】	99.6万次播放
费能灶人生告别会	99.6万次播放
齐鲁绳艺 DV剧-019 深入虎穴[高清版]	99.4万次播放
【我有话要说】02期：不吃不喝多少年才够买房	99.3万次播放
史上最牛的面试美女	99.1万次播放
超强缓震 安踏弹力胶	99.0万次播放
风云起 菊花惨遭爆	99.0万次播放
《与爱同行》蓝海涛作品	98.9万次播放
实拍 近距离一拳打倒	98.8万次播放
情义兄弟 Mc洪磊微电影 官方完整版	98.7万次播放
云南泡妞2	98.7万次播放
特工也有逃不脱的密室，你能帮帮他们吗？	98.6万次播放
独门享法之“美女也疯狂”	98.6万次播放
爆笑办公室喜剧《OFFICE嘻哈4重奏》	98.5万次播放
《守护》神级剧情惊天逆转	98.5万次播放
大学生同居的事儿04集	98.3万次播放
斯柯达野帝“都市耀客”微电影 之 黑撒乐队篇	98.3万次播放
男人，你知道她在等你吗？	98.2万次播放
【我有话要说】02期：不吃不喝多少年才够买房	98.2万次播放
大学生同居的事儿09集	98.1万次播放
P大点事第三期：内裤决定命运	98.0万次播放
L&#039;ODYSSéE DE CARTIER 卡地亚微电影 - 新年版	97.8万次播放
幸福语录之张亚东	97.7万次播放
毛骗·贰 第09集（网络版）	97.4万次播放
WM微电影	97.3万次播放
毕业微电影《四年一梦》	97.2万次播放
原创贺岁剧《酱爆青春》A	97.2万次播放
入错行，嫁对郎	97.0万次播放
加油，妈妈！	96.6万次播放
作茧自缚2	96.5万次播放
&lt;玩梦者&gt;都市玄幻	96.4万次播放
【微电影】&lt;贝之恋&gt;——POWERLAND(PLD)呈献	96.3万次播放
汽车之家十周年感人微电影《永远是起点》	95.9万次播放
啤酒是酒吗、日本人是人吗	95.9万次播放
励志喜剧《寻找周星驰》上	95.8万次播放
《三人床》上 集  看屌丝男宿醉的下场	95.7万次播放
妹子_不要那么随便嘛，最随便MM献身。。。	95.6万次播放
重口味！！竟然媲美好莱坞“味道”大片的拍摄过程，持续跟踪！	95.4万次播放
处女	95.4万次播放
寻找英雄儿女系列电影《岳父也不行》	95.4万次播放
最美的一度-父子篇	95.2万次播放
印象电影系列之逝年	95.1万次播放
黑人陈建州携手佳人演绎黑白配	95.1万次播放
偷手机的小女孩	95.1万次播放
南宁圈视 四大才纸 邕江的后裔	95.0万次播放
中国首部气候主题网络公益微电影《红苹果》	95.0万次播放
《爱情必修课》——你还相信大学爱情吗？——InOut手机报出品	95.0万次播放
睛彩拍客大赛 致敬功夫巨星李小龙——原创功夫MV《我就是李小龙》	94.8万次播放
原创微电影：三男一宅 ——《圣诞·结》	94.8万次播放
《迷失德州》：献给所有的德州爷们儿	94.8万次播放
网络小说作家的另类青春《不败青春》微电影抢先预告	94.6万次播放
全球邂逅	94.6万次播放
《坏才刘科学》第2集	94.4万次播放
《菠萝保安之大保镖福尔摩斯》	94.4万次播放
DB-12	94.3万次播放
《大哥教你来把妹》第一季 第七集	94.2万次播放
《真正的脑洞》第二话 死亡日记杀人事件	93.6万次播放
《拾荒少年》2013金考拉电影节最佳长片	93.5万次播放
陆川水瓶座《北北，北北》预告	93.3万次播放
【9号吉祥】微电影 预告片 看守所 监狱 励志教育题材 龙颜影视出品	93.2万次播放
《爆脾气》落魄男青年寻短见邂逅初恋	93.1万次播放
一个陌生女人的故事3	93.0万次播放
据说80%的男人骗女人的惯用伎俩....._高清	92.9万次播放
惊呆！三秒变身昆虫侠	92.9万次播放
BB象03：比武招亲篇	92.8万次播放
致今后的你我——北京大学跨年微电影《今天》	92.8万次播放
【9号吉祥】微电影 [看守所 监狱 励志教育题材]那些年我们失去的青春 【龙颜影视出品】	92.6万次播放
《网红》——叶良辰主演 中国首部网红题材新媒体电影	92.6万次播放
【猴姆独家】因为爱情，十大电影经典表白片断集锦！	92.6万次播放
公开的秘密	92.5万次播放
一屌丝男假扮成导演，找了一群美女演员，想潜规则她们，结果……	92.1万次播放
色即是空	92.0万次播放
生活相对论2- 《进》篇	91.9万次播放
爆笑：《我的隔壁是良人》第一季第10集：潜规则	91.9万次播放
关爱智障儿童，拉芳女孩用爱填补残缺	91.7万次播放
谁盗走BOSS的爱	91.6万次播放
双生萌娃寻妈记	91.6万次播放
一个包裹的惊喜	91.6万次播放
中国特种兵	91.6万次播放
【9号吉祥】微电影 预告片 看守所 监狱 励志教育题材龙颜影视出品	91.5万次播放
坦克大战!超猛!!!第三弹!!!	91.4万次播放
《物•语女子》之《微电影少女》	91.4万次播放
大学生同居的事儿第二季01	91.4万次播放
费列罗金色婚礼	91.2万次播放
新都市微电影，留住情动一刻	91.1万次播放
《黄色幽默》	90.9万次播放
【iu最酷榜】帝都女生高唱《帝都澡堂里》 120727	90.8万次播放
毛骗·贰 第09集上	90.6万次播放
服务生的给力艳遇-------杨棋涵  MAN MAN MAN	90.5万次播放
高群书监制  首部文艺微电影   生活相对论2-《进》篇	90.4万次播放
阜新风云之美女如云	90.4万次播放
